   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, HeapSort_cmp, HeapSort_swaps, HeapSort_time
   0,             0,               0,              1,         1,           0,          0,                 0,                   0,                  0,            3,              0,             0
   1,             0,               0,              0,         1,           0,          0,                 0,                   0,                  0,            3,              0,             0
   2,             2,               0,              0,        10,           2,          2,                 1,                   0,                  0,           13,              2,             0
   3,             6,               1,              6,        14,           2,          4,                 3,                   0,                  0,           18,              3,             1
   4,             8,               1,              0,        28,           4,          0,                 6,                   1,                  7,           37,              7,             5
   5,            16,               4,              0,        30,           4,          1,                10,                   1,                  0,           51,             10,             1
   6,            22,               6,              0,        56,           9,          1,                15,                   2,                  0,           64,             12,             1
   7,            32,              10,              0,        73,          11,          1,                21,                   2,                  0,           73,             14,             1
   8,            40,              13,              0,        82,          12,          1,                28,                   4,                  1,           99,             19,             3
   9,            52,              18,              0,        90,          12,          2,                36,                   5,                  1,          122,             24,             1
  10,            56,              19,              0,       111,          14,          2,                45,                   6,                  0,          146,             29,             2
  11,            60,              20,              0,       124,          15,          2,                55,                   7,                  1,          162,             32,             2
  12,            66,              22,              1,       136,          17,          7,                66,                   8,                  2,          192,             38,             3
  13,            68,              22,              2,       168,          19,          4,                78,                   8,                  2,          212,             42,             2
  14,            84,              29,              1,       167,          21,          3,                91,                   8,                  1,          228,             45,             2
  15,           102,              37,              1,       192,          24,          2,               105,                   9,                  1,          244,             49,             2
  16,           124,              47,              1,       205,          26,          3,               120,                  11,                  1,          268,             53,             2
  17,           156,              62,              2,       241,          28,          2,               136,                  13,                  2,          282,             56,             2
  18,           182,              74,              1,       258,          34,          3,               153,                  12,                  2,          313,             62,             3
  19,           192,              78,              3,       293,          35,          3,               171,                  16,                  3,          333,             66,             4
  20,           220,              91,              4,       294,          37,          5,               190,                  16,                  3,          349,             69,             5
  21,           256,             108,              2,       323,          35,          6,               210,                  17,                  3,          386,             78,             4
  22,           262,             110,              3,       344,          39,          6,               231,                  18,                  3,          415,             84,             4
  23,           264,             110,              2,       396,          41,          5,               253,                  18,                  3,          431,             86,             4
  24,           308,             131,              2,       343,          37,         10,               276,                  18,                  3,          475,             95,             3
  25,           352,             152,              3,       424,          40,          5,               300,                  19,                  3,          501,            100,             4
  26,           378,             164,              3,       411,          44,          4,               325,                  16,                  4,          518,            102,             3
  27,           426,             187,              3,       441,          47,          4,               351,                  20,                  4,          534,            105,             4
  28,           470,             208,              4,       465,          53,          4,               378,                  21,                  4,          575,            114,             4
  29,           500,             222,              4,       499,          58,          5,               406,                  24,                  4,          598,            118,             4
  30,           532,             237,              4,       518,          59,          5,               435,                  26,                  5,          616,            121,             4
  31,           550,             245,              5,       525,          60,          6,               465,                  27,                  5,          631,            123,             4
  32,           572,             255,              5,       530,          64,          5,               496,                  27,                  5,          669,            131,             4
  33,           624,             280,              5,       595,          62,          5,               528,                  29,                 77,          697,            138,             4
  34,           684,             309,              5,       596,          64,          5,               561,                  30,                  6,          717,            141,             4
  35,           746,             339,              6,       622,          66,          5,               595,                  27,                  6,          734,            143,             4
  36,           770,             350,              6,       657,          73,          6,               630,                  31,                  7,          773,            152,             4
  37,           828,             378,              6,       665,          76,          6,               666,                  32,                  7,          806,            160,             5
  38,           874,             400,              7,       675,          79,          6,               703,                  32,                  7,          823,            160,             4
  39,           914,             419,              7,       693,          74,          7,               741,                  32,                  8,          874,            173,             4
  40,           964,             443,              8,       693,          78,         10,               780,                  35,                  8,          894,            177,             4
  41,          1026,             473,              8,       726,          77,          6,               820,                  37,                  8,          912,            181,             4
  42,          1070,             494,             53,       773,          85,          7,               861,                  37,                  9,          956,            190,             6
  43,          1146,             531,              9,       797,          86,          8,               903,                  36,                  9,          998,            199,             5
  44,          1160,             537,              9,       875,          87,          8,               946,                  39,                 40,          989,            195,             8
  45,          1236,             574,             10,       869,          92,          9,               990,                  39,                 11,         1018,            200,             6
  46,          1244,             577,             10,       948,          96,         10,              1035,                  40,                 11,         1059,            209,             5
  47,          1312,             610,             64,       861,          99,          7,              1081,                  41,                  9,         1096,            216,            10
  48,          1384,             645,             11,       993,          91,          8,              1128,                  44,                 11,         1141,            225,             6
  49,          1440,             672,             11,       938,         103,          8,              1176,                  43,                 11,         1181,            234,             6
  50,          1470,             686,             12,      1009,         103,         14,              1225,                  40,                  4,         1217,            242,             6
  51,          1552,             726,             12,      1008,          99,          8,              1275,                  46,                  4,         1245,            246,             6
  52,          1578,             738,             13,      1038,         108,         10,              1326,                  44,                  4,         1286,            256,             6
  53,          1582,             739,             13,      1111,         100,          9,              1378,                  46,                  4,         1328,            265,             6
  54,          1664,             779,             50,      1057,         115,          9,              1431,                  47,                  4,         1380,            275,             7
  55,          1726,             809,             14,      1088,         118,          9,              1485,                  49,                  5,         1390,            277,             7
  56,          1764,             827,              2,      1114,         122,         11,              1540,                  51,                  5,         1420,            283,             8
  57,          1792,             840,              3,      1124,         118,         14,              1596,                  53,                  5,         1414,            280,             8
  58,          1812,             849,              2,      1127,         119,         12,              1653,                  54,                  5,         1477,            293,             8
  59,          1894,             889,              2,      1184,         125,         10,              1711,                  55,                  5,         1505,            299,          2384
  60,          1920,             901,              3,      1275,         133,         13,              1770,                  57,                  5,         1534,            305,             8
  61,          2041,             961,              2,      1316,         131,         11,              1830,                  57,                  5,         1569,            313,             7
  62,          2085,             982,              2,      1252,         137,         11,              1891,                  55,                  6,         1568,            310,             8
  63,          2117,             997,              2,      1271,         141,         11,              1953,                  58,                  6,         1565,            309,             8
  64,          2121,             998,              2,      1406,         143,         12,              2016,                  59,                  6,         1617,            320,             7
  65,          2189,            1031,              2,      1321,         147,         11,              2080,                  60,                  6,         1654,            327,            10
  66,          2209,            1040,              2,      1349,         141,         11,              2145,                  59,                  6,         1700,            336,             8
  67,          2261,            1065,              2,      1346,         143,         11,              2211,                  64,                  6,         1755,            349,             8
  68,          2367,            1117,              2,      1473,         156,         14,              2278,                  63,                  6,         1781,            353,             8
  69,          2369,            1117,              2,      1617,         158,         14,              2346,                  65,                  6,         1805,            357,             8
  70,          2451,            1157,              2,      1422,         155,         13,              2415,                  65,                  6,         1834,            363,             8
  71,          2511,            1186,              2,      1475,         158,         13,              2485,                  63,                  7,         1876,            372,             8
  72,          2611,            1235,              3,      1586,         155,         13,              2556,                  66,                  7,         1901,            375,             8
  73,          2751,            1304,              3,      1765,         158,         14,              2628,                  67,                  7,         1957,            388,             9
  74,          2813,            1334,              3,      1561,         158,         13,              2701,                  68,                  7,         1995,            396,             9
  75,          2943,            1398,              3,      1731,         163,         14,              2775,                  70,                  7,         2044,            408,             9
  76,          3079,            1465,              3,      1650,         173,         13,              2850,                  70,                  9,         2060,            409,             9
  77,          3141,            1495,              3,      1696,         178,         14,              2926,                  69,                  7,         2096,            417,            11
  78,          3217,            1532,              3,      1634,         178,         16,              3003,                  73,                  8,         2159,            430,             9
  79,          3301,            1573,              3,      1685,         173,         10,              3081,                  70,                  8,         2162,            429,             9
  80,          3415,            1629,              3,      1864,         174,          7,              3160,                  77,                  8,         2168,            429,            11
  81,          3525,            1683,              3,      1732,         189,          6,              3240,                  79,                  8,         2230,            443,            10
  82,          3617,            1728,              3,      1684,         185,          6,              3321,                  73,                  8,         2262,            450,            10
  83,          3705,            1771,              3,      1819,         192,          6,              3403,                  78,                  8,         2307,            457,            10
  84,          3859,            1847,              4,      1900,         190,          6,              3486,                  77,                  8,         2350,            465,            11
  85,          3953,            1893,              4,      1883,         196,          6,              3570,                  81,                 25,         2383,            473,            10
  86,          3971,            1901,              4,      1916,         194,          6,              3655,                  83,                  8,         2421,            481,            10
  87,          4131,            1980,              4,      1920,         196,          6,              3741,                  81,                  8,         2464,            490,            10
  88,          4231,            2029,              4,      2019,         199,          6,              3828,                  84,                  8,         2472,            491,            10
  89,          4339,            2082,              4,      1939,         201,          7,              3916,                  83,                  9,         2475,            490,            10
  90,          4447,            2135,              4,      1983,         207,          6,              4005,                  84,                  9,         2576,            513,            13
  91,          4535,            2178,              4,      2014,         213,          6,              4095,                  89,                  9,         2551,            504,            10
  92,          4653,            2236,              4,      2011,         209,          6,              4186,                  86,                  9,         2619,            520,            12
  93,          4667,            2242,              4,      2365,         216,          7,              4278,                  90,                  9,         2641,            524,            10
  94,          4854,            2335,              4,      2393,         216,          6,              4371,                  92,                  9,         2684,            533,            10
  95,          5010,            2412,              4,      2188,         218,          6,              4465,                  91,                 10,         2713,            538,            10
  96,          5038,            2425,              4,      2258,         220,          7,              4560,                  90,                  9,         2773,            553,            11
  97,          5154,            2482,              4,      2282,         230,         12,              4656,                  91,                 10,         2823,            562,            10
  98,          5158,            2483,              4,      2426,         223,          6,              4753,                  92,                 10,         2854,            567,            10
  99,          5268,            2537,              4,      2248,         235,          7,              4851,                  93,                 10,         2909,            579,            11
 100,          5322,            2563,              4,      2384,         228,          6,              4950,                  91,                 10,         2955,            589,            13
 101,          5482,            2642,              5,      2409,         233,          7,              5050,                  95,                 10,         2972,            590,            11
 102,          5618,            2709,              5,      2227,         231,          6,              5151,                  94,                 10,         3010,            599,            12
 103,          5626,            2712,              5,      2547,         238,          7,              5253,                  99,                 11,         3043,            604,            11
 104,          5833,            2815,              5,      2690,         236,          7,              5356,                 100,                 10,         3088,            615,            11
 105,          5859,            2827,              5,      2443,         246,          7,              5460,                  97,                 10,         3114,            621,            11
 106,          6023,            2908,              5,      2768,         253,          7,              5565,                  99,                 11,         3147,            626,            11
 107,          6033,            2912,              5,      2565,         251,          7,              5671,                 100,                 11,         3185,            634,            11
 108,          6043,            2916,              5,      3005,         237,          7,              5778,                 104,                 11,         3236,            646,            11
 109,          6233,            3010,              5,      2502,         253,          7,              5886,                 104,                 11,         3247,            646,            11
 110,          6257,            3021,              5,      2586,         263,          7,              5995,                 102,                 11,         3309,            659,            11
 111,          6437,            3110,              5,      2658,         258,          7,              6105,                 103,                 11,         3295,            652,            11
 112,          6495,            3138,              5,      2758,         261,          8,              6216,                 108,                 11,         3397,            678,            13
 113,          6699,            3239,              5,      2795,         260,          7,              6328,                 106,                 11,         3376,            671,            11
 114,          6821,            3299,              5,      2639,         272,          7,              6441,                 107,                 11,         3462,            691,            11
 115,          7029,            3402,              5,      2847,         259,          7,              6555,                 107,                 11,         3471,            690,            11
 116,          7135,            3454,              6,      2681,         273,          7,              6670,                 106,                 11,         3555,            708,            12
 117,          7345,            3558,              6,      2910,         272,          7,              6786,                 108,                 12,         3539,            702,            29
 118,          7375,            3572,              6,      3007,         275,          7,              6903,                 112,                 12,         3623,            722,            13
 119,          7479,            3623,              6,      2771,         282,          8,              7021,                 116,                 12,         3636,            725,            12
 120,          7669,            3717,              6,      2882,         286,          7,              7140,                 115,                 12,         3693,            733,            12
 121,          7769,            3766,              6,      2856,         280,          7,              7260,                 113,                 12,         3713,            738,            13
 122,          7819,            3790,              6,      2954,         285,          7,              7381,                 114,                 12,         3747,            744,            12
 123,          7833,            3796,              6,      3001,         296,          8,              7503,                 116,                 12,         3778,            750,            12
 124,          8003,            3880,              6,      2931,         291,          8,              7626,                 116,                 12,         3797,            754,            12
 125,          8159,            3957,              6,      3058,         292,          8,              7750,                 118,                 13,         3852,            767,            12
 126,          8263,            4008,              6,      3028,         304,          9,              7875,                 121,                 13,         3863,            768,            13
 127,          8389,            4070,              6,      2977,         306,          8,              8001,                 120,                 13,         3924,            780,            13
 128,          8617,            4183,              6,      3325,         303,          8,              8128,                 124,                 13,         3966,            789,            12
 129,          8773,            4260,              7,      2971,         308,          8,              8256,                 121,                 13,         3930,            778,            32
 130,          8999,            4372,              6,      3158,         321,          8,              8385,                 124,                 13,         4004,            794,            12
 131,          9237,            4490,              7,      3499,         308,          8,              8515,                 128,                 14,         4014,            796,            13
 132,          9461,            4601,              7,      3321,         318,          8,              8646,                 126,                 14,         4038,            799,            13
 133,          9675,            4707,              7,      3171,         320,          8,              8778,                 127,                 14,         4091,            809,            14
 134,          9725,            4731,              7,      3317,         316,          8,              8911,                 127,                 14,         4108,            813,            14
 135,          9887,            4811,              7,      3149,         326,          8,              9045,                 129,                 14,         4173,            825,            13
 136,         10071,            4902,              7,      3346,         343,          8,              9180,                 133,                 15,         4212,            834,            13
 137,         10309,            5020,              7,      3435,         342,          8,              9316,                 132,                 15,         4235,            838,            14
 138,         10461,            5095,              7,      3488,         327,          8,              9453,                 134,                 14,         4250,            841,            13
 139,         10487,            5107,              7,      3637,         330,          8,              9591,                 133,                 15,         4332,            861,            13
 140,         10543,            5134,              7,      3658,         336,          8,              9730,                 135,                 15,         4342,            858,            13
 141,         10707,            5215,              7,      3360,         344,          8,              9870,                 134,                 15,         4377,            867,            13
 142,         10739,            5230,              8,      3890,         338,          9,             10011,                 137,                 15,         4448,            882,            13
 143,         10989,            5354,              8,      3699,         355,          8,             10153,                 136,                 15,         4477,            888,            13
 144,         11209,            5463,              8,      3604,         352,          9,             10296,                 138,                 15,         4499,            891,            15
 145,         11317,            5516,              8,      3566,         359,          9,             10440,                 139,                 16,         4594,            912,            14
 146,         11519,            5616,              8,      3702,         354,          8,             10585,                 140,                 16,         4588,            910,            14
 147,         11767,            5739,              8,      4062,         345,          9,             10731,                 140,                 16,         4687,            931,            13
 148,         11911,            5810,              8,      3639,         368,          9,             10878,                 143,                 16,         4697,            932,            14
 149,         12103,            5905,              8,      3702,         375,         25,             11026,                 142,                 19,         4709,            933,            31
 150,         12379,            6042,              9,      3917,         350,         10,             11175,                 145,                 17,         4756,            942,            16
 151,         12527,            6115,              9,      3818,         370,          9,             11325,                 146,                 17,         4849,            963,            17
 152,         12569,            6135,              9,      4010,         374,          9,             11476,                 141,                 18,         4873,            967,            17
 153,         12813,            6256,             16,      3976,         378,         10,             11628,                 145,                 18,         4900,            972,            20
 154,         12831,            6264,             10,      4162,         378,         11,             11781,                 148,                 26,         4954,            984,            21
 155,         12991,            6343,             14,      3713,         380,         13,             11935,                 148,                 18,         5018,            997,            15
 156,         13241,            6467,             12,      3966,         382,         10,             12090,                 147,                 19,         5011,            993,            15
 157,         13317,            6504,             10,      3990,         386,         10,             12246,                 151,                 18,         5079,           1010,            15
 158,         13325,            6507,             10,      4856,         377,         10,             12403,                 154,                 18,         5094,           1011,            18
 159,         13561,            6624,             10,      4144,         385,         10,             12561,                 155,                 19,         5122,           1016,            15
 160,         13629,            6657,             10,      4015,         408,         10,             12720,                 156,                 19,         5178,           1027,            18
 161,         13809,            6746,             10,      3894,         402,         10,             12880,                 153,                 19,         5197,           1034,            16
 162,         14049,            6865,             10,      4045,         390,         10,             13041,                 152,                 19,         5229,           1039,            17
