  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, HeapSort_cmp, HeapSort_swaps, HeapSort_time
  0,             0,               0,              1,         1,           0,          0,                 0,                   0,                  0,            3,              0,             1
  1,             0,               0,              0,         1,           0,          0,                 0,                   0,                  0,            3,              0,             0
  2,             3,               1,              1,        11,           2,          3,                 1,                   0,                  1,           10,              1,             1
  3,             5,               1,              1,        23,           4,          4,                 3,                   1,                  1,           18,              3,             9
  4,             9,               2,              1,        26,           4,          4,                 6,                   1,                  1,           33,              6,             1
  5,            11,               2,              1,        42,           6,          5,                10,                   2,                  1,           50,             10,             1
  6,            21,               6,              1,        43,           6,          5,                15,                   2,                  1,           63,             12,             2
  7,            27,               8,              1,        69,          10,         13,                21,                   4,                  2,           73,             14,             2
  8,            42,              15,              2,        88,          13,          8,                28,                   4,                  2,           99,             19,             2
  9,            54,              20,              2,       101,          15,          8,                36,                   5,                  2,          108,             20,             2
 10,            70,              27,              3,       119,          17,          9,                45,                   6,                  3,          124,             23,             4
 11,            82,              32,              3,       133,          18,          9,                55,                   7,                  5,          148,             28,             3
 12,            90,              35,              3,       154,          21,         11,                66,                   8,                  4,          171,             33,             3
 13,           112,              45,              5,       154,          21,         12,                78,                   9,                  4,          182,             35,             4
 14,           120,              48,              4,       194,          25,         21,                91,                   9,                  4,          199,             38,             4
 15,           136,              55,              4,       191,          26,         13,               105,                  10,                  5,          221,             43,             4
 16,           142,              57,              7,       217,          27,         17,               120,                  11,                  5,          266,             53,             4
 17,           168,              69,              9,       228,          30,         15,               136,                  13,                  6,          282,             55,             4
 18,           186,              77,              6,       240,          30,         13,               153,                  11,                  6,          312,             61,             4
 19,           192,              79,              6,       308,          35,         18,               171,                  11,                  7,          331,             65,             4
 20,           231,              98,              7,       310,          31,         19,               190,                  11,                 10,          365,             72,             5
 21,           269,             116,              8,       290,          35,         15,               210,                  16,                  8,          379,             74,             5
 22,           311,             136,              9,       316,          40,         17,               231,                  16,                  9,          391,             76,             5
 23,           339,             149,             10,       335,          39,         18,               253,                  18,                 10,          416,             81,             7
 24,           367,             162,             13,       369,          45,         27,               276,                  21,                 12,          448,             88,             6
 25,           399,             177,             12,       400,          51,         22,               300,                  22,                 11,          472,             93,             5
 26,           425,             189,             12,       416,          52,         22,               325,                  21,                 12,          509,            101,             6
 27,           473,             212,             14,       453,          53,         22,               351,                  23,                 14,          518,            102,             6
 28,           485,             217,             14,       471,          53,         23,               378,                  24,                 14,          545,            107,             6
 29,           499,             223,             16,       493,          56,         23,               406,                  23,                 15,          558,            109,             6
 30,           513,             229,             15,       515,          57,         25,               435,                  25,                 17,          587,            115,             7
 31,           539,             241,             16,       531,          67,         35,               465,                  27,                 16,          613,            121,             7
 32,           563,             252,             17,       491,          58,         24,               496,                  27,                 19,          658,            130,             8
 33,           589,             264,             17,       527,          62,         24,               528,                  26,                 18,          685,            136,             7
 34,           645,             291,             18,       607,          68,         28,               561,                  26,                 21,          725,            143,             8
 35,           661,             298,             19,       631,          72,         29,               595,                  31,                 21,          751,            148,             8
 36,           717,             325,             23,       620,          73,         49,               630,                  32,                 24,          776,            153,            10
 37,           775,             353,             22,       620,          70,         72,               666,                  31,                 27,          796,            157,            12
 38,           833,             381,             27,       656,          72,         28,               703,                  31,                 25,          812,            159,            10
 39,           841,             384,             24,       770,          79,         31,               741,                  33,                 30,          852,            168,            13
 40,           920,             423,             26,       742,          78,         32,               780,                  34,                 28,          883,            173,             9
 41,           976,             450,             29,       700,          81,         29,               820,                  37,                 30,          907,            178,             9
 42,          1020,             471,             29,       786,          90,         35,               861,                  40,                 29,          935,            183,            10
 43,          1080,             500,             32,       778,          87,         31,               903,                  37,                 44,          983,            194,            11
 44,          1092,             505,             32,       844,          90,         37,               946,                  36,                 34,         1025,            203,            14
 45,          1120,             518,             33,       859,          96,       2188,               990,                  39,                 60,         1062,            212,            12
 46,          1164,             539,             35,       894,          95,         26,              1035,                  42,                 36,         1076,            213,            11
 47,          1224,             568,             35,       912,         106,         24,              1081,                  43,                 45,         1101,            218,            16
 48,          1274,             592,             37,       882,          97,         17,              1128,                  44,                 54,         1148,            228,            11
 49,          1358,             633,             39,       939,         103,         19,              1176,                  40,                 40,         1174,            233,            11
 50,          1436,             671,             42,       994,         101,         18,              1225,                  41,                 42,         1210,            241,            12
 51,          1456,             680,             43,       985,         105,         18,              1275,                  47,                 43,         1227,            244,            13
 52,          1462,             682,             43,      1137,         105,         14,              1326,                  48,                 45,         1275,            254,            14
 53,          1500,             700,             43,       996,         117,         16,              1378,                  50,                 47,         1316,            264,            12
 54,          1604,             751,             46,      1103,         112,          9,              1431,                  52,                 48,         1339,            267,            13
 55,          1700,             798,             49,      1057,         114,          9,              1485,                  47,                 51,         1362,            272,            13
 56,          1772,             833,             53,      1050,         117,          9,              1540,                  48,                 52,         1390,            277,            13
 57,          1820,             856,             53,      1110,         120,          9,              1596,                  53,                 54,         1394,            276,            13
 58,          1902,             896,             55,      1170,         127,         11,              1653,                  52,                 58,         1457,            290,            16
 59,          2018,             953,             58,      1151,         128,         10,              1711,                  54,                 59,         1489,            295,          2141
 60,          2040,             963,             60,      1162,         126,         12,              1770,                  57,                 59,         1529,            305,            15
 61,          2138,            1011,             62,      1135,         123,         11,              1830,                  57,                 62,         1554,            309,            10
