 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, HeapSort_cmp, HeapSort_swaps, HeapSort_time
 0,             0,               0,              1,         1,           0,          0,                 0,                   0,                  0,            3,              0,             1
 1,             0,               0,              0,         1,           0,          0,                 0,                   0,                  0,            3,              0,             1
 2,             2,               0,              0,        10,           2,          2,                 1,                   0,                  0,           13,              2,             2
 3,             4,               0,              0,        22,           4,          3,                 3,                   0,                  0,           21,              4,             3
 4,             8,               1,              1,        25,           4,          4,                 6,                   0,                  1,           36,              7,             4
 5,            17,               5,              2,        40,           6,          5,                10,                   1,                  1,           46,              9,             5
 6,            27,               9,              3,        58,           9,          8,                15,                   3,                  2,           67,             13,             6
 7,            31,              10,              2,        60,           8,          7,                21,                   5,                  2,           81,             16,             8
 8,            35,              11,              3,        86,          12,          9,                28,                   6,                  2,          105,             21,            17
 9,            41,              13,              4,        98,          14,         10,                36,                   7,                  3,          124,             25,            11
10,            43,              13,              3,       124,          16,         11,                45,                   7,                  2,          145,             29,             8
